アール グレイ ティー ラテ Tall,123,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,112,1
アール グレイ ティー ラテ Grande,123,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,113,1
アール グレイ ティー ラテ Venti,180,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,114,1
ゼンクラウド ウーロン ティー ラテ Short,123,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,,115,1
ゼンクラウド ウーロン ティー ラテ Tall,123,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,,116,1
ゼンクラウド ウーロン ティー ラテ Grande,123,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,,117,1
ゼンクラウド ウーロン ティー ラテ Venti,123,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,,118,1
アイスティー(ブラック) Short,3,420,,,,119,1
アイスティー(ブラック) Tall,3,460,,,,120,1
アイスティー(ブラック) Grande,3,506,,,,121,1
アイスティー(ブラック) Venti,4,550,,,,122,1
アイスティー(パッション) Short,3,420,+バニラフレーバーシロップ(￥55),,,123,1
アイスティー(パッション) Tall,3,460,+バニラフレーバーシロップ(￥55),,,124,1
アイスティー(パッション) Grande,3,506,+バニラフレーバーシロップ(￥55),,,125,1
アイスティー(パッション) Venti,4,550,+バニラフレーバーシロップ(￥55),,,126,1
イングリッシュ ブレックファスト Short,5,460,,,,127,1
イングリッシュ ブレックファスト Tall,5,460,,,,128,1
イングリッシュ ブレックファスト Grande,5,506,,,,129,1
イングリッシュ ブレックファスト Venti,5,550,,,,130,1
アール グレイ Short,2,460,,,,131,1
アール グレイ Tall,2,460,,,,132,1
アール グレイ Grande,2,506,,,,133,1
アール グレイ Venti,2,550,,,,134,1
カモミール Short,0,460,,,,135,1
カモミール Tall,0,460,,,,136,1
カモミール Grande,0,506,,,,137,1
カモミール Venti,0,550,,,,138,1
ユースベリー® Short,5,460,,,,139,1
ユースベリー® Tall,5,460,,,,140,1
ユースベリー® Grande,5,506,,,,141,1
ユースベリー® Venti,5,550,,,,142,1
ほうじ茶 Short,3,460,,,,143,1
ほうじ茶 Tall,3,460,,,,144,1
ほうじ茶 Grande,3,506,,,,145,1
ほうじ茶 Venti,3,550,,,,146,1
ゼンクラウド ウーロン Short,1,460,,,,147,1
ゼンクラウド ウーロン Tall,1,460,,,,148,1
ゼンクラウド ウーロン Grande,1,506,,,,149,1
ゼンクラウド ウーロン Venti,1,550,,,,150,1
